"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/67frt_Pankaj-Kumar-Singh-01.jpg","Mr.Pankaj Kumar Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/67/mrpankaj-kumar-singh"
"https://www.gla.ac.in/Uploads/faculty/367frt_Vikas-Kumar.jpg","Dr. Vikas Kumar Sharma","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/367/dr-vikas-kumar-sharma"
"https://www.gla.ac.in/Uploads/faculty/614frt_383frt_01.jpg","Mr. Shubham Garg","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/614/mr-shubham-garg"
"https://www.gla.ac.in/Uploads/faculty/1052frt_DSC_0584Small.jpg","Dr. Punit Singh","Research Scientist","https://www.gla.ac.in/academics/faculty-detail/1052/dr-punit-singh"
"https://www.gla.ac.in/Uploads/faculty/488frt_VishweshMishra01LecturerGLA118762Small.jpg","Mr. Vishwesh Mishra","Lecturer","https://www.gla.ac.in/academics/faculty-detail/488/mr-vishwesh-mishra"
"https://www.gla.ac.in/Uploads/faculty/415frt_Akash-Deep-Yadav-Lecturer-Diploma-01.jpg","Mr. Akash Deep Yadav","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/415/mr-akash-deep-yadav"
"https://www.gla.ac.in/Uploads/faculty/419frt_Yogendra-Kumar-01.jpg","Mr. Yogendra Kumar","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/419/mr-yogendra-kumar"
"https://www.gla.ac.in/Uploads/faculty/397frt_Pawan-Kumar-Agrawal-01.jpg","Mr. Pawan Kumar Agrawal","Lecturer","https://www.gla.ac.in/academics/faculty-detail/397/mr-pawan-kumar-agrawal"
"https://www.gla.ac.in/Uploads/faculty/393frt_Hariom-01.jpg","Mr. Hariom","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/393/mr-hariom"
"https://www.gla.ac.in/Uploads/faculty/391frt_Nitin-Sahni-01.jpg","Mr. Nitin Sahni","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/391/mr-nitin-sahni"
"https://www.gla.ac.in/Uploads/faculty/1143frt_Balaji-B-sm.jpg","Dr. Balaji B","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1143/dr-balaji-b"
"https://www.gla.ac.in/Uploads/faculty/680frt_639frt_577frt_383frt_01.jpg","Mr. Shikhar Goel","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/680/mr-shikhar-goel"
"https://www.gla.ac.in/Uploads/faculty/729frt_AmitKumar275.png","Mr. Amit Kumar","Assistant Professor - Research","https://www.gla.ac.in/academics/faculty-detail/729/mr-amit-kumar"
"https://www.gla.ac.in/Uploads/faculty/732frt_Rishabh.jpg","Mr. Rishabh Chaturvedi","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/732/mr-rishabh-chaturvedi"
"https://www.gla.ac.in/Uploads/faculty/733frt_RajatYadavAsst.ProfMEsmall.jpg","Mr. Rajat Yadav","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/733/mr-rajat-yadav"
"https://www.gla.ac.in/Uploads/faculty/734frt_AmanSharmaAsst.ProfMEGLA120008.JPG","Mr. Aman Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/734/mr-aman-sharma"
"https://www.gla.ac.in/Uploads/faculty/389frt_Pravesh-Kumar-Tiwari-Lecturer-Civil-01.jpg","Mr. Pravesh Kumar Tiwari","Lecturer","https://www.gla.ac.in/academics/faculty-detail/389/mr-pravesh-kumar-tiwari"
"https://www.gla.ac.in/Uploads/faculty/774frt_AyushGupta.JPG","Mr. Ayush Gupta","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/774/mr-ayush-gupta"
"https://www.gla.ac.in/Uploads/faculty/381frt_Bhagat-Singh-Lecturer-Mechanical-01.jpg","Mr. Bhagat Singh","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/381/mr-bhagat-singh"
"https://www.gla.ac.in/Uploads/faculty/1408frt_SumitNagarAsst.ProfResearchMEGLA123003.JPG","Mr. Sumit Nagar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1408/mr-sumit-nagar"
"https://www.gla.ac.in/Uploads/faculty/1483frt_ShubhamVermaAsst.Prof.MechanicalGLA124003.JPG","Mr. Shubham Verma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1483/mr-shubham-verma"
"https://www.gla.ac.in/Uploads/faculty/375frt_Sameer-Vishwakarma.jpg","Mr. Sameer Vishwakarma","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/375/mr-sameer-vishwakarma"
"https://www.gla.ac.in/Uploads/faculty/880frt_AyushS.jpg","Dr. Aayush Gupta","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/880/dr-aayush-gupta"
"https://www.gla.ac.in/Uploads/faculty/1231frt_VarunSinghalAsst.b.png","Mr. Varun Singhal","Assistant Professor - Research","https://www.gla.ac.in/academics/faculty-detail/1231/mr-varun-singhal-"
"https://www.gla.ac.in/Uploads/faculty/1486frt_ShashiKumarSinghAsst.ProfMEGLA124002.jpeg","Mr. Shashi Kumar Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1486/mr-shashi-kumar-singh"
"https://www.gla.ac.in/Uploads/faculty/1275frt_RajeetKumarRaiAsst.ProfMEGLA123004.jpg","Mr. Rajeet Kumar Rai","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1275/mr-rajeet-kumar-rai-"
"https://www.gla.ac.in/Uploads/faculty/19frt_Kamal-Sharma.jpg","Prof. (Dr.) Kamal Sharma","Professor & Dean (R&D)","https://www.gla.ac.in/academics/faculty-detail/19/prof-(dr)-kamal-sharma"
"https://www.gla.ac.in/Uploads/faculty/34frt_Dr.Piyush-Singhal.jpg","Prof. (Dr.) Piyush Singhal","Professor & Head","https://www.gla.ac.in/academics/faculty-detail/34/prof-(dr)-piyush-singhal"
"https://www.gla.ac.in/Uploads/faculty/16frt_Vijay-Kumar-Dwivedi.jpg","Dr. Vijay Kumar Dwivedi","Professor","https://www.gla.ac.in/academics/faculty-detail/16/dr-vijay-kumar-dwivedi"
"https://www.gla.ac.in/Uploads/faculty/18frt_Manoj-Kumar-Agrawal.jpg","Dr. Manoj Kumar Agrawal","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/18/dr-manoj-kumar-agrawal"
"https://www.gla.ac.in/Uploads/faculty/141frt_sujit-sm.jpg","Dr. Sujit Kumar Verma","Professor","https://www.gla.ac.in/academics/faculty-detail/141/dr-sujit-kumar-verma"
"https://www.gla.ac.in/Uploads/faculty/69frt_Ravindra-Pratap-Singh-01.jpg","Mr. Ravindra Pratap Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/69/mr-ravindra-pratap-singh"
"https://www.gla.ac.in/Uploads/faculty/71frt_Harish-Kumar-Sharma-01.jpg","Mr. Harish Kumar Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/71/mr-harish-kumar-sharma"
"https://www.gla.ac.in/Uploads/faculty/103frt_Pankaj-Sonia-01.jpg","Mr. Pankaj Sonia","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/103/mr-pankaj-sonia"
"https://www.gla.ac.in/Uploads/faculty/106frt_Soni-Kumari-01.jpg","Dr. Soni Kumari","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/106/dr-soni-kumari"
"https://www.gla.ac.in/Uploads/faculty/66frt_Shashank-Srivastava-01.jpg","Mr. Shashank Srivastava","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/66/mr-shashank-srivastava"
"https://www.gla.ac.in/Uploads/faculty/112frt_Viyat-Varun-Upadhyay-01.jpg","Mr. Viyat Varun Upadhyay","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/112/mr-viyat-varun-upadhyay"
"https://www.gla.ac.in/Uploads/faculty/20frt_Kuwar-Mausam.jpg","Mr. Kuwar Mausam","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/20/mr-kuwar-mausam"
"https://www.gla.ac.in/Uploads/faculty/137frt_Vikas-Sharma-01.jpg","Mr. Vikas Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/137/mr-vikas-sharma"
"https://www.gla.ac.in/Uploads/faculty/138frt_Gaurav-Bhardwaj-01.jpg","Dr. Gaurav Bharadwaj","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/138/dr-gaurav-bharadwaj"
"https://www.gla.ac.in/Uploads/faculty/139frt_Avdhesh-Kumar-Sharma-01.jpg","Mr. Avdhesh Kumar Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/139/mr-avdhesh-kumar-sharma"
"https://www.gla.ac.in/Uploads/faculty/782frt_Mahendran-Samykano-sm.jpg","Ir. Ts. Dr. Mahendran Samykano","Assoc. Prof.","https://www.gla.ac.in/academics/faculty-detail/782/ir-ts-dr-mahendran-samykano"
"https://www.gla.ac.in/Uploads/faculty/142frt_Sunil-Kumar-01.jpg","Mr. Sunil Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/142/mr-sunil-kumar"
"https://www.gla.ac.in/Uploads/faculty/873frt_BhupendraSinghChauhanProfessorMEGLA120010(1).jpg","Dr. Bhupendra Singh Chauhan","Professor","https://www.gla.ac.in/academics/faculty-detail/873/dr-bhupendra-singh-chauhan-"
"https://www.gla.ac.in/Uploads/faculty/148frt_Bharat-Singh-01.jpg","Dr. Bharat Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/148/dr-bharat-singh"
"https://www.gla.ac.in/Uploads/faculty/153frt_Sanjeev-Kumar-Gupta-01.jpg","Mr. Sanjeev Kumar Gupta","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/153/mr-sanjeev-kumar-gupta"
"https://www.gla.ac.in/Uploads/faculty/155frt_Toshit-Jain-01.jpg","Mr. Toshit Jain","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/155/mr-toshit-jain"
"https://www.gla.ac.in/Uploads/faculty/157frt_Rajkumar-Sharma-01.jpg","Mr. Rajkumar Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/157/mr-rajkumar-sharma"
"https://www.gla.ac.in/Uploads/faculty/159frt_Pradeep-Kumar-Singh-01.jpg","Dr. Pradeep Kumar Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/159/dr-pradeep-kumar-singh"
"https://www.gla.ac.in/Uploads/faculty/167frt_Mr.-Deepak-Sharma-01.jpg","Mr. Deepak Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/167/mr-deepak-sharma"
"https://www.gla.ac.in/Uploads/faculty/169frt_Gaurav-Pant-sm.jpg","Mr. Gaurav Pant","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/169/mr-gaurav-pant"
