"tablescraper-selected-row","tablescraper-selected-row href"
"MoU with United Overseas Patent Firm","https://www.gla.ac.in/Uploads/Files/68df_MoUwithUnitedOverseasPatentFirm_0001.pdf"
"MOU with MSME-Technology Development Centre (PPDC), Agra (Mechanical Engineering)","https://www.gla.ac.in/Uploads/Files/85df_37.MoURenewalMSME04.03.2022.pdf"
"MOU with Creative Tools Noida","https://www.gla.ac.in/Uploads/Files/93df_MoUwithCreativeTools,Noida(1).pdf"
"MOU with Unozin India Private Limited","https://www.gla.ac.in/Uploads/Files/95df_MoU(UnozinIndiaPvtLtD).pdf"
"MOU With Independent Thoughts, Noida (National Level NGO for Children Laws Research & Advocacy)","https://www.gla.ac.in/Uploads/Files/97df_MOUwithIthough.pdf"
"MOU with HIINXLEGAL","https://www.gla.ac.in/Uploads/Files/98df_MOUwithHIINXLEGAL.pdf"
"MOU with Voltrans Energy Private Limited (Electrical Engineering)","https://www.gla.ac.in/Uploads/Files/99df_VoltransEnergyPvt.Ltd..pdf"
"MOU with Digitayal Consultancy Private Limited, Gujarat(Computer Engineering & Applications)","https://www.gla.ac.in/Uploads/Files/104df_DigitayalConsultancyPrivateLimited_compressed.pdf"
"Agricultural Technology Development Society, Ghaziabad (Agricultural Sciences)","https://www.gla.ac.in/Uploads/Files/105df_MOUATDS.pdf"
"MOU with Hindustan Agricultural Research Welfare society Agra (Agricultural Sciences)","https://www.gla.ac.in/Uploads/Files/106df_MOUHARWS.pdf"
"MOU with Vellore Institute Of Technology, Vellore (Biotechnology)","https://www.gla.ac.in/Uploads/Files/110df_2.VelloreInstituteOfTechnology,Vellore.pdf"
"MOU with i-Diary IT Solutions Pvt. Limited, Agra (Computer Engineering & Application)","https://www.gla.ac.in/Uploads/Files/114df_i-DiaryIT.pdf"
"MOU with National Highways Authority of India (NHAI) (Civil Engineering)","https://www.gla.ac.in/Uploads/Files/115df_7.NHAI.pdf"
"MOU with Ingenuity Gaming (Computer Engineering & Application)","https://www.gla.ac.in/Uploads/Files/119df_25.IngenuityGamingPvt.Ltd..pdf"
"MOU with Sorting HAT Technologies Private Limited, Bangalore, (Codechef)","https://www.gla.ac.in/Uploads/Files/120df_17.SortingHATTechnologiesPrivateLimited.pdf"
"MOU with VATS Healthcare Products, Sonipat","https://www.gla.ac.in/Uploads/Files/121df_18.VATSHealthcareProducts,Sonipat.pdf"
"MOU with TOSC International Pvt. Ltd., Delhi","https://www.gla.ac.in/Uploads/Files/122df_19.TOSCInternationalPvt.Ltd..pdf"
"MOU with RAHE Life Science, New Delhi","https://www.gla.ac.in/Uploads/Files/123df_RAHELifeScience,NewDelhi.pdf"
"MOU with The Ikigai Lab, Noida","https://www.gla.ac.in/Uploads/Files/124df_6.Theikigailab.pdf"
"MOU with Bada Business, Delhi","https://www.gla.ac.in/Uploads/Files/125df_BadaBusiness_0001-1.pdf"
"MOU with Gemini Solutions, Gurugram (Computer Engineering & Application)","https://www.gla.ac.in/Uploads/Files/133df_23.GeminiSolutionsMoU.pdf"
"MOU with Zenus Group, Haldwani","https://www.gla.ac.in/Uploads/Files/134df_21.ZenusGroup,Haldwani.pdf"
"MOU with Shriram Life Insurance Company Limited, Hyderabad (IBM-PG)","https://www.gla.ac.in/Uploads/Files/135df_19ShriramLifeInsurance.pdf"
"MOU with  DSCC (Dr. Sharan Consulting California), Bangalore","https://www.gla.ac.in/Uploads/Files/187df_DSCCMoU.pdf"
"MOU with  Savya Pharmaceuticals","https://www.gla.ac.in/Uploads/Files/188df_144.MOUSavyapharmaceuticals.pdf"
"MOU with  Patanjali Research Foundation and Patanjali University, Haridwar, Uttarakhand","https://www.gla.ac.in/Uploads/Files/194df_PatanjaliResearchFoundationandPatanjaliUniversity,Haridwar,Uttarakhand.pdf"
"MOU with Meerkats Innovative Technotools Private Limited, Gurugram","https://www.gla.ac.in/Uploads/Files/196df_MeerkatsInnovativeTechnotoolsPrivateLimited,Gurugram.pdf"
"MOU with  Fare Labs Pvt. Ltd. Gurugram, Haryana","https://www.gla.ac.in/Uploads/Files/197df_FareLabsPvt.Ltd.Gurugram,Haryana.pdf"
"MOU with  NEC Corporation India Pvt. Ltd, Delhi, Intel Technology India Pvt. Ltd, Bangalore And Edulateral Foundation, Bengaluru","https://www.gla.ac.in/Uploads/Files/198df_NECCorporationIndiaPvt.Ltd,Delhi,IntelTechnologyIndiaPvt.Ltd,BangaloreAndEdulateralFoundation,"
"MOU with  Idealife Healthcare Ltd., Kanpur","https://www.gla.ac.in/Uploads/Files/199df_IdealifeHealthcareLtd.,Kanpur.pdf"
"MOU with Techbeliever Technologies Private Limited, Noida","https://www.gla.ac.in/Uploads/Files/217df_7.TechbelieverTechnologiesPrivateLimited,Noida.pdf"
"MOU with AU Small Finance Bank Limited, Jaipur","https://www.gla.ac.in/Uploads/Files/218df_8.AUSmallFinanceBankLimited,Jaipur.pdf"
"MOU with Admitkard, Noida","https://www.gla.ac.in/Uploads/Files/220df_10.Admitkard,Noida.pdf"
"MOU with Godavari Bio-Fertilizer Industries, Nashik, Maharashtra","https://www.gla.ac.in/Uploads/Files/221df_11.GodavariBioFertilizerIndustries,Nashik,Maharashtra.pdf"
"MOU with Vardan Multi Specialty Hospital, Ghaziabad","https://www.gla.ac.in/Uploads/Files/223df_13.VardanMultiSpecialtyHospital,Ghaziabad.pdf"
"MOU with Anix Systems Private Limited, Noida","https://www.gla.ac.in/Uploads/Files/225df_15.AnixSystemsPrivateLimited,Noida.pdf"
"MOU with Mongodb Software India Private Limited (“Mongodb”)","https://www.gla.ac.in/Uploads/Files/226df_16.MongodbSoftwareIndiaPrivateLimited(Mongodb).pdf"
"MOU with Decibels Lab Private Limited, Bengaluru, Karnataka","https://www.gla.ac.in/Uploads/Files/227df_17.DecibelsLabPrivateLimited,Bengaluru,Karnataka.pdf"
"MOU with Akriti Designs, Faridabad (Mechanical Engineering)","https://www.gla.ac.in/Uploads/Files/108df_4.AkritiDesigns,Faridabad.pdf"
"MOU with Era Interfaces Private Limited, Bangalore (Computer Engineering & Applications)","https://www.gla.ac.in/Uploads/Files/164df_ERAInterfacesprivatelimitedMoUWITHglau..pdf"
"MOU with BSE Institute Limited, Mumbai (Management- PG)","https://www.gla.ac.in/Uploads/Files/166df_19.BSEInstituteLimitedMoU.pdf"
"Alliance MOU between NewGen IDEC, GLA University and JSSATE- Science & Technology Entrepreneur Park, Noida","https://www.gla.ac.in/Uploads/Files/67df_MOUwithJSSATE(1).pdf"
"MOU with Evertouch Healthcare & Group, Kosikotwan, Mathura","https://www.gla.ac.in/Uploads/Files/253df_7.EvertouchHealthcareGroup,Kosikotwan,Mathura.pdf"
"MOU with IITD-AIA Foundation For Smart Manufacturing, (IAFSM), Delhi","https://www.gla.ac.in/Uploads/Files/254df_8.IITD-AIAFoundationForSmartManufacturing(Iafsm),Delhi.pdf"
"MOU with Garuda Aerospace Private Limited, Chennai","https://www.gla.ac.in/Uploads/Files/236df_9.GarudaAerospacePrivateLimited,Chennai.pdf"
"MOU with Chetu India Private Limited, Noida","https://www.gla.ac.in/Uploads/Files/237df_10.ChetuIndiaPrivateLimited,Noida.pdf"
"MOU with Appsquadz Software Pvt. Ltd., Noida","https://www.gla.ac.in/Uploads/Files/238df_11.AppsquadzSoftwarePvt.Ltd.,Noida.pdf"
"MOU with Staqo World Private Limited, Noida","https://www.gla.ac.in/Uploads/Files/139df_StaqoWorldPrivateLimited,Noida(1).pdf"
"MOU with Yung Minds Pvt. Ltd., Noida","https://www.gla.ac.in/Uploads/Files/239df_12.YungMindsPvt.Ltd.,Noida.pdf"
"MOU with Council of Scientific & Industrial Research (CSIR)- Central Institute of Medicinal and Aromatic Plants, Lucknow","https://www.gla.ac.in/Uploads/Files/92df_MoUwithCouncilofScientificIndustrialResearch(CSIR).pdf"
"MOU with Resurgent India Limited, Gurgaon, Haryana","https://www.gla.ac.in/Uploads/Files/240df_13.ResurgentIndiaLimited,Gurgaon,Haryana.pdf"
"MOU with SVR Infotech","https://www.gla.ac.in/Uploads/Files/51df_MoUSVRInfotechon11.05.2019.pdf"
"MOU with TUV SUV South Asia Pvt. Ltd.","https://www.gla.ac.in/Uploads/Files/52df_31.TUV-SUDMoU(1).pdf"
"MOU with Globallogic India Limited, Noida","https://www.gla.ac.in/Uploads/Files/241df_14.GloballogicIndiaLimited,Noida.pdf"
"MOU with Agrinnovate India Limited, New Delhi","https://www.gla.ac.in/Uploads/Files/242df_15.AgrinnovateIndiaLimited,NewDelhi.pdf"
"MOU With Micro, Small and Medium Enterprise Technology Development Centre Agra","https://www.gla.ac.in/Uploads/Files/18df_MSME-TechnologyDevelopmentCentre(15Feb).pdf"
"MOU with Cesim India Private Limited, Pune","https://www.gla.ac.in/Uploads/Files/243df_16.CesimIndiaPrivateLimited,Pune.pdf"
"MOU with Collegedekho (Girnarsoft Education Services Pvt Ltd), Jaipur","https://www.gla.ac.in/Uploads/Files/244df_17.CollegeDheko(GirnarsoftEducationServicesPvtLtd),Jaipur.pdf"
"MOU with Wipro Ltd. India, Greater Noida","https://www.gla.ac.in/Uploads/Files/245df_18.WiproLtd.India,GreaterNoida.pdf"
"MOU for Academic cooperation with VMWare International Limited","https://www.gla.ac.in/Uploads/Files/45df_VMware.pdf"
"MOU with Bentley Centre of Excellence & Spageo Technologies Pvt. Ltd. Ghaziabad, Uttar Pradesh","https://www.gla.ac.in/Uploads/Files/41df_SPAGEO_28_11_18.pdf"
"MOU with Capgemini Technology Services India Limited, Pune","https://www.gla.ac.in/Uploads/Files/246df_19.CapgeminiTechnologyServicesIndiaLimited,Pune.pdf"
"MOU with Simpa Energy India Pvt. Ltd., Noida","https://www.gla.ac.in/Uploads/Files/7df_MOU_4-Simpa-Energy-India-Pvt.-Ltd.,-Noida.pdf"
"MOU with  IBM India Pvt. Ltd. (Computer Engineering & Application)","https://www.gla.ac.in/Uploads/Files/107df_IBM125.pdf"
"MOU with Infosys Limited","https://www.gla.ac.in/Uploads/Files/148df_Infosys.pdf"
"MOU with Elite Techno Group (Mechanical Engineering)","https://www.gla.ac.in/Uploads/Files/109df_3.MoU(EliteTechnoGroup)_0001.pdf"
"MOU of Collaboration with National Instruments Pvt Ltd, Bengaluru","https://www.gla.ac.in/Uploads/Files/47df_MoUNIScanCopy.pdf"
"MOU with EdGate Technologies Pvt Ltd Bangalore","https://www.gla.ac.in/Uploads/Files/14df_MOU_EdGate-Technologies-Pvt-Ltd-Bangalore-30-Oct-2018.pdf"
"MOU with Cisco Networking Academy","https://www.gla.ac.in/Uploads/Files/46df_CISCONETWORKINGACADEMY.pdf"
"MOU with Rubicon Skill Development Pvt. Ltd.","https://www.gla.ac.in/Uploads/Files/54df_8.Rubicon.pdf"
"MOU with Stanley Browne Laboratory Delhi","https://www.gla.ac.in/Uploads/Files/10df_MOU-(Stanley-Browne-Laboratory,-Delhi-to-GLA-Univeristy,-Mathura)-.pdf"
"MOU with Ayurvet Limited","https://www.gla.ac.in/Uploads/Files/11df_MOU-Ayurvet-2017.pdf"
"MOU with Shikum Pharmaceutical Pvt. Ltd., Sultanpur","https://www.gla.ac.in/Uploads/Files/102df_mou.pdf"
"MOU with Biozone Research Technologies Pvt. Ltd. - Chennai.","https://www.gla.ac.in/Uploads/Files/27df_MOU-with-Biozone-Research-Technologies-Pvt.-Ltd.---Chennai-(19-01-2019).pdf"
"MOU with Stanley Browne Laboratory","https://www.gla.ac.in/Uploads/Files/147df_StanleyBrowneLaboratory.pdf"
"MOU with National Research Development Corporation (NRDC) New Delhi","https://www.gla.ac.in/Uploads/Files/30df_MOU-with-National-Research-Development-Corporation-(NRDC)-New-Delhi-(18-01-2019)(2).pdf"
"MOU with National Jalma Institute (ICMR), Agra","https://www.gla.ac.in/Uploads/Files/8df_MOU_3-National-Jalma-Institute-(ICMR),-Agra.pdf"
"MOU with Novateur Electrical & Digital Systems Pvt. LTD.","https://www.gla.ac.in/Uploads/Files/151df_7.NovateurElectricalDigitalSystemsPvtLTD,Mumbai.pdf"
"MOU with Palamur Biosciences Pvt. Ltd.","https://www.gla.ac.in/Uploads/Files/145df_MOUBetweenGLAandPalamurBio.pdf"
"MOU with Ayurvet Research Foundation","https://www.gla.ac.in/Uploads/Files/146df_36.AyurvetResearchFoundation.pdf"
"MOU with NSIC Technical centre, Neemka (Faridabad)","https://www.gla.ac.in/Uploads/Files/69df_MoU_NSIC_TSC,NEEMKA.pdf"
"MOU with Shri Girraj Supari Traders, LLP, Mathura (Biotechnology)","https://www.gla.ac.in/Uploads/Files/81df_22.ShriGirrajSupariTraders,Llp.pdf"
"MOU with Ninepages Techsolutions Pvt. Limited, Agra","https://www.gla.ac.in/Uploads/Files/103df_Ninepages_MoU.pdf"
"MOU with Jagat Pharma, Bareilly","https://www.gla.ac.in/Uploads/Files/149df_JagatPharma,Bareilly.pdf"
"MOU with National Council for Cement and Building Materials (NCCBM), Ballabgarh","https://www.gla.ac.in/Uploads/Files/140df_32.NCCBMMoU(1).pdf"
"MOU with Signa Pharma Private Limited","https://www.gla.ac.in/Uploads/Files/174df_15.SignaPharmaPrivateLimited.pdf"
"MOU with Aeroqube Technologies Pvt. Ltd., Noida","https://www.gla.ac.in/Uploads/Files/175df_21.AeroqubeTechnologiesPvt.Ltd.,Noida.pdf"
"MOU with Era Interfaces Private Limited, Banglore","https://www.gla.ac.in/Uploads/Files/176df_18.ERAInterfacesprivatelimitedMoU.pdf"
"MOU with JBM Auto Limited SDC,  Faridabad","https://www.gla.ac.in/Uploads/Files/79df_MOUwithJBMAutoLimitedSDCFaridabad.pdf"
"MOU with Center For Integrative And Lifestyle Medicine, Mathura","https://www.gla.ac.in/Uploads/Files/142df_31.CenterforIntegrativeandLifestyleMedicine,Mathura.pdf"
