"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/424frt_Abhinav-Khatri-01.jpg","Mr. Abhinav Khatri","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/424/mr-abhinav-khatri"
"https://www.gla.ac.in/Uploads/faculty/1519frt_Small.jpg","Dr. Munmi Gogoi","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1519/dr-munmi-gogoi"
"https://www.gla.ac.in/Uploads/faculty/700frt_639frt_577frt_383frt_01.jpg","Ms. Kirti Agrawal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/700/ms-kirti-agrawal"
"https://www.gla.ac.in/Uploads/faculty/1520frt_Small.jpg","Dr. Dipak Kumar Sah","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1520/dr-dipak-kumar-sah"
"https://www.gla.ac.in/Uploads/faculty/702frt_SonaliAgrawal-Copy.jpg","Ms. Sonali Agrawal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/702/ms-sonali-agrawal"
"https://www.gla.ac.in/Uploads/faculty/703frt_VineetaSingh.jpg","Ms. Vineeta Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/703/ms-vineeta-singh"
"https://www.gla.ac.in/Uploads/faculty/1521frt_Small.jpg","Dr. Sujatha Jayaraj","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1521/dr-sujatha-jayaraj"
"https://www.gla.ac.in/Uploads/faculty/704frt_639frt_577frt_383frt_01.jpg","Ms. Monika Verma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/704/ms-monika-verma"
"https://www.gla.ac.in/Uploads/faculty/1522frt_Small.jpg","Dr. Varun Mishra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1522/dr-varun-mishra"
"https://www.gla.ac.in/Uploads/faculty/707frt_ManiMishra-Copy.jpg","Mr. Mani Mishra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/707/mr-mani-mishra"
"https://www.gla.ac.in/Uploads/faculty/708frt_AartiVarshney-Copy.jpg","Ms. Aarti Varshney","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/708/ms-aarti-varshney"
"https://www.gla.ac.in/Uploads/faculty/808frt_AnilKumarSaxenaGLA316538(1).jpg","Mr. Anil Kumar Saxena","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/808/mr-anil-kumar-saxena"
"https://www.gla.ac.in/Uploads/faculty/1523frt_Small.jpg","Dr. Anuj Mangal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1523/dr-anuj-mangal"
