"img-fluid src","achievers-cont","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/640frt_MayankNigamSmall.jpg","Mr. Mayank Nigam","https://www.gla.ac.in/academics/faculty-detail/640/mr-mayank-nigam"
"https://www.gla.ac.in/Uploads/faculty/37frt_HemantSinghParihSmall.jpg","Mr. Hemant Singh Parihar","https://www.gla.ac.in/academics/faculty-detail/37/mr-hemant-singh-parihar"
"https://www.gla.ac.in/Uploads/faculty/21frt_AnujGoyalAsst.ProfsMALL.jpg","Mr. Anuj Goyal","https://www.gla.ac.in/academics/faculty-detail/21/mr-anuj-goyal"
"https://www.gla.ac.in/Uploads/faculty/601frt_RaviKumarAsst.Small.JPG","Mr. Ravi Kumar","https://www.gla.ac.in/academics/faculty-detail/601/mr-ravi-kumar"
"https://www.gla.ac.in/Uploads/faculty/1044frt_RahulRaysmall.jpg","Dr. Rahul Ray","https://www.gla.ac.in/academics/faculty-detail/1044/dr-rahul-ray"
"https://www.gla.ac.in/Uploads/faculty/40frt_MohitVermaAsst.ProfSmall.jpg","Mr. Mohit Verma","https://www.gla.ac.in/academics/faculty-detail/40/mr-mohit-verma"
"https://www.gla.ac.in/Uploads/faculty/882frt_JitendraGudainiyansmall.jpg","Mr. Jitendra Gudainiyan","https://www.gla.ac.in/academics/faculty-detail/882/mr-jitendra-gudainiyan"
"https://www.gla.ac.in/Uploads/faculty/1349frt_RahulKumarAsst.Prof.CivilGLA123207.JPG","Mr. Rahul Kumar","https://www.gla.ac.in/academics/faculty-detail/1349/mr-rahul-kumar"
"https://www.gla.ac.in/Uploads/faculty/39frt_RaisulIslamAssSmall.jpg","Mr. Raisul Islam","https://www.gla.ac.in/academics/faculty-detail/39/mr-raisul-islam"
"https://www.gla.ac.in/Uploads/faculty/883frt_smita.jpg","Dr. Smita Tung","https://www.gla.ac.in/academics/faculty-detail/883/dr-smita-tung"
"https://www.gla.ac.in/Uploads/faculty/1118frt_DeepakKumarTiwaris.JPG","Dr. Deepak Kumar Tiwari","https://www.gla.ac.in/academics/faculty-detail/1118/dr-deepak-kumar-tiwari"
"https://www.gla.ac.in/Uploads/faculty/1030frt_praveen-kumar-s.jpg","Dr. Praveen Kumar Gupta","https://www.gla.ac.in/academics/faculty-detail/1030/dr-praveen-kumar-gupta"
"https://www.gla.ac.in/Uploads/faculty/1119frt_Dr.ManvendraVermaAsst.ProfCivilGLA122206.JPG","Dr. Manvendra Verma","https://www.gla.ac.in/academics/faculty-detail/1119/dr-manvendra-verma"
"https://www.gla.ac.in/Uploads/faculty/44frt_DeepakVarshneyAsst.ProfsMALL.jpg","Mr. Deepak Varshney","https://www.gla.ac.in/academics/faculty-detail/44/mr-deepak-varshney"
"https://www.gla.ac.in/Uploads/faculty/42frt_AtulSoniAsst.ProfsMALL.jpg","Mr. Atul Soni","https://www.gla.ac.in/academics/faculty-detail/42/mr-atul-soni"
