"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/1153frt_Ms.-Ayushi-Dixit-sm.jpg","Ms. Ayushi Dixit","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1153/ms-ayushi-dixit"
"https://www.gla.ac.in/Uploads/faculty/1313frt_DeveshRaoBouddhaEnglishAsstProfGLA123491-Copy.JPG","Mr. Devesh Rao Bouddha","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1313/mr-devesh-rao-bouddha"
"https://www.gla.ac.in/Uploads/faculty/1155frt_Mr.-Subodh-Kant-Soti-sm.jpg","Mr. Subodh Kant Soti","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1155/mr-subodh-kant-soti"
"https://www.gla.ac.in/Uploads/faculty/1303frt_AbdulKayoomVAsst.ProfEnglishGLA123477-Copy.jpeg","Dr. Abdul Kayoom V","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1303/dr-abdul-kayoom-v"
"https://www.gla.ac.in/Uploads/faculty/1501frt_Small.jpg","Dr. Atul Aman","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1501/dr-atul-aman"
"https://www.gla.ac.in/Uploads/faculty/1342frt_AbhinavAsst.ProfEnglishGLA123286.JPG","Mr. Abhinav","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1342/mr-abhinav"
"https://www.gla.ac.in/Uploads/faculty/1390frt_AbhinavTiwariAsst.ProfEnglishGLA124407.JPG","Dr. Abhinav Tiwari","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1390/dr-abhinav-tiwari"
"https://www.gla.ac.in/Uploads/faculty/1414frt_NishaAnandAsst.ProfEnglishGLA123467.jpeg","Ms. Nisha Anand","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1414/ms-nisha-anand"
"https://www.gla.ac.in/Uploads/faculty/1378frt_MirzaAdamAsst.ProfEnglishGLA123469.jpeg","Dr. Mirza Adam","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1378/dr-mirza-adam"
"https://www.gla.ac.in/Uploads/faculty/1477frt_MaheshKMAsst.ProfEnglishGLA124431.JPG","Mr. Mahesh K M","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1477/mr-mahesh-k-m"
"https://www.gla.ac.in/Uploads/faculty/1473frt_RamKuleshThakurAsst.ProfEnglishGLA124430.JPG","Mr. Ram Kulesh Thakur","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1473/mr-ram-kulesh-thakur"
"https://www.gla.ac.in/Uploads/faculty/1474frt_BharaPaulAsst.ProfEnglishGLA124432.JPG","Ms. Bhara Paul","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1474/ms-bhara-paul"
"https://www.gla.ac.in/Uploads/faculty/1456frt_Small.jpg","Mr. Vinod Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1456/mr-vinod-kumar"
"https://www.gla.ac.in/Uploads/faculty/1465frt_SiddharthaPratapaAsst.ProfEnglishGLA124426.JPG","Dr. Siddhartha Pratapa","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1465/dr-siddhartha-pratapa"
"https://www.gla.ac.in/Uploads/faculty/1279frt_TanyaMalhotraAsst.ProfEnglishGLA123460.jpg","Ms. Tanya Malhotra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1279/ms-tanya-malhotra"
"https://www.gla.ac.in/Uploads/faculty/1281frt_NehaKumariAsst.ProfEnglishGLA123459.jpg","Dr. Neha Kumari","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1281/dr-neha-kumari-"
"https://www.gla.ac.in/Uploads/faculty/727frt_small.jpg","Prof. Anup Kumar Gupta","Vice Chancellor","https://www.gla.ac.in/academics/faculty-detail/727/prof-anup-kumar-gupta"
"https://www.gla.ac.in/Uploads/faculty/92frt_VivekMelhotraAssociateProfessorEnglishGLA108253.JPG","Dr. Vivek Mehrotra","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/92/dr-vivek-mehrotra"
"https://www.gla.ac.in/Uploads/faculty/93frt_Mamta-Bhatnagar.jpg","Dr. Mamta Bhatnagar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/93/dr-mamta-bhatnagar"
"https://www.gla.ac.in/Uploads/faculty/152frt_Divya-Gupta.jpg","Dr. Divya Gupta","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/152/dr-divya-gupta"
"https://www.gla.ac.in/Uploads/faculty/1204frt_SankarMajumderS.png","Prof. Sankar Majumder","Professor","https://www.gla.ac.in/academics/faculty-detail/1204/prof-sankar-majumder"
"https://www.gla.ac.in/Uploads/faculty/160frt_mukund.jpg","Dr. Mukund Kumar Mishra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/160/dr-mukund-kumar-mishra"
"https://www.gla.ac.in/Uploads/faculty/166frt_Dr.Jaya-Sharma-01.jpg","Dr. Jaya Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/166/dr-jaya-sharma"
"https://www.gla.ac.in/Uploads/faculty/624frt_Dr.PrateekPandeyAsst.ProfessorEnglishs.jpg","Dr. Prateek Pandey","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/624/dr-prateek-pandey"
"https://www.gla.ac.in/Uploads/faculty/83frt_Dr.-Shyam-Ji-01.jpg","Dr. Shyam Ji Dubey","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/83/dr-shyam-ji-dubey"
"https://www.gla.ac.in/Uploads/faculty/799frt_DrVivekKumarsmall.jpg","Dr. Vivek Kumar","","https://www.gla.ac.in/academics/faculty-detail/799/dr-vivek-kumar"
"https://www.gla.ac.in/Uploads/faculty/1148frt_Ms.-Oliva-Roy-sm.jpg","Dr. Oliva Roy","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1148/dr-oliva-roy"
