"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/324frt_Yogesh-Kumar.jpg","Mr. Yogesh Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/324/mr-yogesh-kumar"
"https://www.gla.ac.in/Uploads/faculty/959frt_AbhishekAS.jpg","Dr. Abhishek Anand","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/959/dr-abhishek-anand-"
"https://www.gla.ac.in/Uploads/faculty/430frt_Shivam-Bhardwaj.jpg","Mr. Shivam Bhardwaj","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/430/mr-shivam-bhardwaj"
"https://www.gla.ac.in/Uploads/faculty/1189frt_Ms.-Chhavi-Singh-sm.jpg","Ms. Chhavi Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1189/ms-chhavi-singh"
"https://www.gla.ac.in/Uploads/faculty/760frt_Rahul-Singhsmall.jpg","Mr. Rahul Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/760/mr-rahul-singh"
"https://www.gla.ac.in/Uploads/faculty/762frt_Rajnish-Mahajans.jpg","Mr. Rajnish Mahajan","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/762/mr-rajnish-mahajan"
"https://www.gla.ac.in/Uploads/faculty/763frt_Ashish-Kumar-Sharmasmall.jpg","Mr. Ashish Kumar Sharma","MBA.( Marketing, Finance) B.com","https://www.gla.ac.in/academics/faculty-detail/763/mr-ashish-kumar-sharma"
"https://www.gla.ac.in/Uploads/faculty/764frt_Bharat-Sharmas.jpg","Mr. Bharat Kant Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/764/mr-bharat-kant-sharma"
"https://www.gla.ac.in/Uploads/faculty/765frt_Sachins.jpg","Mr. Sachin Kumar Chittodia","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/765/mr-sachin-kumar-chittodia"
"https://www.gla.ac.in/Uploads/faculty/766frt_samiksha-pants.jpg","Ms. Samiksha Pant","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/766/ms-samiksha-pant"
"https://www.gla.ac.in/Uploads/faculty/570frt_devika-gla.jpg","Ms. Devika Agrawal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/570/ms-devika-agrawal"
"https://www.gla.ac.in/Uploads/faculty/613frt_Neeraj-Pathak-sm.jpg","Mr. Neeraj Pathak","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/613/mr-neeraj-pathak"
"https://www.gla.ac.in/Uploads/faculty/771frt_DevendraSingh.JPG","Mr. Devendra Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/771/mr-devendra-singh"
"https://www.gla.ac.in/Uploads/faculty/773frt_DharmendraSharmaTrainer.JPG","Mr. Dharmendra Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/773/mr-dharmendra-sharma"
"https://www.gla.ac.in/Uploads/faculty/774frt_AyushGupta.JPG","Mr. Ayush Gupta","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/774/mr-ayush-gupta"
"https://www.gla.ac.in/Uploads/faculty/776frt_RashmeetKatre.JPG","Ms. Rasmeet Katre","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/776/ms-rasmeet-katre"
"https://www.gla.ac.in/Uploads/faculty/612frt_SuneelSmall.jpg","Mr. Sunil Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/612/mr-sunil-kumar"
"https://www.gla.ac.in/Uploads/faculty/609frt_SahilGargAsst.ProfManagement-Copy.jpg","Mr. Sahil Garg","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/609/mr-sahil-garg"
"https://www.gla.ac.in/Uploads/faculty/662frt_NIHARIKAs.jpg","Ms. Niharika Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/662/ms-niharika-singh-"
"https://www.gla.ac.in/Uploads/faculty/1192frt_Ms.-Jyoti-Sharma-sm.jpg","Ms. Jyoti Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1192/ms-jyoti-sharma"
"https://www.gla.ac.in/Uploads/faculty/562frt_GitanjaliSinghAsst.Professor.JPG","Ms. Geetanjali Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/562/ms-geetanjali-singh"
"https://www.gla.ac.in/Uploads/faculty/1355frt_AkankshaPathakAsst.ProfManagementGLA123558.JPG","Ms. Akanksha Pathak","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1355/ms-akanksha-pathak"
"https://www.gla.ac.in/Uploads/faculty/1356frt_AjayBabuAsst.ProfManagementGLA123557-Copy.JPG","Mr. Ajay Babu","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1356/mr-ajay-babu"
"https://www.gla.ac.in/Uploads/faculty/1350frt_SachinAgarwalAssociate.ProfManagementGLA123552-Copy.JPG","Dr. Sachin Agarwal","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/1350/dr-sachin-agarwal"
"https://www.gla.ac.in/Uploads/faculty/1190frt_Mr.-Sagar-Varshney-sm.jpg","Mr. Sagar Varshney","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1190/mr-sagar-varshney"
"https://www.gla.ac.in/Uploads/faculty/1191frt_Mr.-Mayank-Rawat-sm.jpg","Mr. Mayank Rawat","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1191/mr-mayank-rawat"
"https://www.gla.ac.in/Uploads/faculty/1410frt_RatuldevGhoshChoudhuryProfessorofPracticeManagementGLA123550-Copy.JPG","Prof. Ratuldev Ghosh Choudhury","Professor","https://www.gla.ac.in/academics/faculty-detail/1410/prof-ratuldev-ghosh-choudhury"
"https://www.gla.ac.in/Uploads/faculty/832frt_vinaysinghsmala.jpg","Mr. Vinay Kumar Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/832/mr-vinay-kumar-singh"
"https://www.gla.ac.in/Uploads/faculty/834frt_Mukut-Dubesmall.jpg","Mr. Mukut Ballabh Dube","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/834/mr-mukut-ballabh-dube"
"https://www.gla.ac.in/Uploads/faculty/828frt_GauravHRSmall.jpg","Mr. Gaurav Vikram Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/828/mr-gaurav-vikram-singh"
"https://www.gla.ac.in/Uploads/faculty/830frt_BinodBihariRayCS-S.jpg","Mr. Binod Bihari Ray","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/830/mr-binod-bihari-ray"
"https://www.gla.ac.in/Uploads/faculty/1359frt_AnsariZulfiquarNaimuddinAsst.ProfManagementGLA123555.JPG","Mr. Ansari Zulfiquar Naimuddin","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1359/mr-ansari-zulfiquar-naimuddin"
"https://www.gla.ac.in/Uploads/faculty/1226frt_Small.jpg","Mr. Pritvi Raj Chawhan","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1226/mr-pritvi-raj-chawhan"
"https://www.gla.ac.in/Uploads/faculty/1100frt_AkankshaSinghs.jpg","Ms. Akanksha Singh Fouzdar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1100/ms-akanksha-singh-fouzdar"
"https://www.gla.ac.in/Uploads/faculty/1427frt_AsthaBajpaiSoftSkillsTrainerManagementGLA124502-Copy.JPG","Ms. Astha Bajpai","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1427/ms-astha-bajpai"
"https://www.gla.ac.in/Uploads/faculty/1111frt_Dr.AnkitaMishra-S.jpg","Dr. Ankita Mishra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1111/dr-ankita-mishra"
"https://www.gla.ac.in/Uploads/faculty/1481frt_AshutoshSharmaAsst.ProfManagementGLA124515.JPG","Mr. Ashutosh Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1481/mr-ashutosh-sharma"
"https://www.gla.ac.in/Uploads/faculty/1232frt_NiteshThakurAsst.S.png","Mr. Nitesh Thakur","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1232/mr-nitesh-thakur-"
"https://www.gla.ac.in/Uploads/faculty/1451frt_VedPrabhaToshniwalAsst.ProfManagementGLA124508(1).JPG","Ms. Ved Prabha Toshniwal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1451/ms-ved-prabha-toshniwal"
"https://www.gla.ac.in/Uploads/faculty/1452frt_JeeteshSharmaAsst.ProfManagementGLA124509.JPG","Mr. Jeetesh Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1452/mr-jeetesh-sharma"
"https://www.gla.ac.in/Uploads/faculty/1453frt_JayantAsst.ProfManagementGLA124511.JPG","Mr. Jayant","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1453/mr-jayant"
"https://www.gla.ac.in/Uploads/faculty/1002frt_Small.jpg","Ms. Astha Vashisth","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1002/ms-astha-vashisth"
"https://www.gla.ac.in/Uploads/faculty/1438frt_PoojaMishraAsst.Prof.ManagementGLA124504-Copy.JPG","Ms. Pooja Mishra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1438/ms-pooja-mishra"
"https://www.gla.ac.in/Uploads/faculty/1457frt_Small.jpg","Mr. Shubham Ranjan","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1457/mr-shubham-ranjan"
"https://www.gla.ac.in/Uploads/faculty/1251frt_RiteshTrivedis.png","Mr. Ritesh Trivedi","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1251/mr-ritesh-trivedi-"
"https://www.gla.ac.in/Uploads/faculty/1215frt_PrithviRajChauhans.png","Mr. Prithvi Raj Chauhan","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1215/mr-prithvi-raj-chauhan-"
"https://www.gla.ac.in/Uploads/faculty/969frt_DirAnuragSm.jpg","Prof. Anurag Singh","Director","https://www.gla.ac.in/academics/faculty-detail/969/prof-anurag-singh"
